処理番号,営業日付,店舗名称,3rd Item No.,表記部門名1,StyleNo,商品名,ColorNo,ColorName,Size,数量,税抜単価,税単価,税込単価,税抜金額,税額,税込金額,上代,金種名,調整値引,客層名,拡張名,販売者,会員フラグ,会員番号
449325,2026/06/29,FJALLRAVEN by 3NITY TOKYO,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,外国女性,II,須藤,0,
449326,2026/06/29,FJALLRAVEN by 3NITY 大丸心斎橋,23165550X,FJALLRAVEN,23165,Ulvo Hip Pack Medium,550,Black,X,1,"8,000",800,"8,800","8,000",800,"8,800","8,000",複数金種,,外国男性,III,大山,0,
449327,2026/06/29,FJALLRAVEN by 3NITY TOKYO,23561457X,FJALLRAVEN,23561,Kanken Mini,457,Pastel Lavender,X,1,"12,000","1,200","13,200","12,000","1,200","13,200","12,000",現金,,女性,II,花山,1,143720
449328,2026/06/29,FJALLRAVEN POPUP NARITA,23510620X,FJALLRAVEN,23510,Kanken,620,Green,X,1,"13,000",0,"13,000","13,000",0,"13,000","13,000",カード,,外国女性,III,岡田,0,
449329,2026/06/29,FJALLRAVEN by 3NITY 京王新宿,23349300X,FJALLRAVEN,23349,Skule 20,300,Dusty Rose,X,1,"12,000","1,200","13,200","12,000","1,200","13,200","12,000",現金,,外国女性,II,高橋,0,
449330,2026/06/29,6142,23225620X,FJALLRAVEN,23225,High Coast Totepack,620,Green,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",カード,,外国男性,III,中尾,0,
449331,2026/06/29,6142,23200337171X,FJALLRAVEN,23200337,Skule Sling 6,171,Red Gold,X,1,"9,000",0,"9,000","9,000",0,"9,000","9,000",現金,,外国男性,III,中尾,0,
449331,2026/06/29,6142,23800550X,FJALLRAVEN,23800,Kanken No. 2 Black Hip Pack,550,Black,X,1,"11,000",0,"11,000","11,000",0,"11,000","11,000",現金,,外国男性,III,中尾,0,
449331,2026/06/29,6142,23620302-907X,FJALLRAVEN,23620,KankenRainbow,302-907,Chalk Rose-Rainbow,X,1,"13,500",0,"13,500","13,500",0,"13,500","13,500",現金,,外国男性,III,中尾,0,
449332,2026/06/29,6142,23510312X,FJALLRAVEN,23510,Kanken,312,Pink,X,1,"13,000",0,"13,000","13,000",0,"13,000","13,000",現金,,外国女性,IV,中尾,0,
449332,2026/06/29,6142,13100181550S/M,FJALLRAVEN,13100181,Fjallraven Logo Cap,550,Black,S/M,1,"7,000",0,"7,000","7,000",0,"7,000","7,000",現金,,外国女性,IV,中尾,0,
449333,2026/06/29,FJALLRAVEN by 3NITY 大丸心斎橋,24221030X,FJALLRAVEN,24221,Pocket,030,Dark Grey,X,1,"6,000",600,"6,600","6,000",600,"6,600","6,000",カード,,女性,IV,久保,0,
